Testcase Number,Algorithm Name,Algorithm Result,Time Taken
1.out,fractional,1488579.880605818,3.1948089599609375e-05
1.out,rounding0.09,1403834.9688,1.4225819110870361
1.out,rounding0.01,1403224.8436,11.462232828140259
2.out,rounding0.04,1368943.9956,2.957118034362793
1.out,rounding0.05,1403393.1540000003,2.4932961463928223
1.out,rounding0.08,1403877.0464,1.8892967700958252
2.out,rounding0.02,1368685.8504,8.074644804000854
2.out,rounding0.0,1368603,310.57136511802673
2.out,rounding0.06,1368943.9956,2.4809131622314453
2.out,rounding0.07,1368965.5077,2.0224833488464355
2.out,fractional,1525238.964433294,3.2901763916015625e-05
2.out,rounding0.03,1368879.4593,4.0946290493011475
2.out,rounding0.08,1369202.1408,1.8734619617462158
1.out,greedy,1374973,3.3855438232421875e-05
2.out,rounding0.05,1369030.044,4.461246967315674
1.out,rounding0.04,1403456.2704,2.9709479808807373
2.out,rounding0.09,1369589.3586000002,1.6177630424499512
2.out,rounding0.01,1368642.8262,11.747359991073608
2.out,greedy,1432707,3.1948089599609375e-05
1.out,rounding0.03,1403393.1539999999,4.576391935348511
1.out,rounding0.07,1403792.8912,2.7364301681518555
1.out,rounding0.0,1403155,247.20774292945862
1.out,rounding0.06,1403834.9688,7.594282150268555
1.out,greedy,1374973,6.079673767089844e-05
2.out,greedy,1432707,5.602836608886719e-05
1.out,rounding0.02,1403330.0376000002,6.591387987136841
